,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
MMM,0.7364864864864865,0.9031531531531531,0.5765765765765766,0.4752252252252252,0.7432432432432432,0.7432432432432432,0.2747747747747748,0.09234234234234234,0.31981981981981983,0.9031531531531531,0.9504504504504504,0.4954954954954955,0.9302658209190916
AOS,0.04504504504504504,0.6463963963963963,0.7635135135135133,0.4684808775717867,0.46171171171171155,0.46171171171171166,0.4774774774774775,0.1891891891891892,0.35585585585585583,0.6463963963963963,0.7229729729729729,0.9054054054054054,0.08810235736588239
ABT,0.9301801801801802,0.6193693693693694,0.26576576576576577,0.41216216216216217,0.19594594594594594,0.19594594594594594,0.1373873873873874,0.44594594594594594,0.2972972972972973,0.6193693693693694,0.7545045045045045,0.581081081081081,0.15826471083211674
ACN,0.9121621621621622,0.7184684684684685,0.8243243243243243,0.45732790424398106,0.038288288288288286,0.038288288288288286,0.28378378378378377,0.6689189189189189,0.5630630630630631,0.7184684684684685,0.7072072072072072,0.8716216216216216,0.15266687141687138
ADBE,0.8828828828828829,0.8716216216216216,0.9324324324324325,,0.009009009009009009,0.009009009009009009,0.7545045045045045,0.48423423423423423,0.5585585585585587,0.8716216216216216,0.8828828828828829,0.9684684684684685,0.3099182040435876
AMD,0.8851351351351351,0.421171171171174,0.9864864864864865,,0.9031531531531531,0.9031531531531531,0.963963963963964,0.5585585585585585,0.9391891891891891,0.421171171171174,0.0518018018018018,0.16216216216216217,0.052584118476807516
AES,0.02027027027027027,0.33108108108108125,0.41891891891891864,0.9810395451094974,0.740990990990991,0.740990990990991,0.7184684684684685,0.0472972972972973,0.0,0.33108108108108125,0.08108108108108109,0.14189189189189189,0.9407019080286407
AFL,0.6576576576576576,0.3108108108108108,0.32657657657657657,0.49549549549549554,0.43468468468468496,0.43468468468468474,0.21621621621621623,0.6779279279279279,0.2522522522522524,0.3108108108108108,0.44819819819819817,0.13288288288288289,0.26895090596214194
A,0.4369369369369369,0.6328828828828829,0.7522522522522522,0.1813063063063063,0.27702702702702703,0.27702702702702703,0.40765765765765766,0.35135135135135137,0.5360360360360362,0.6328828828828829,0.6126126126126126,0.759009009009009,0.36142427574779545
APD,0.6666666666666667,0.5653153153153153,0.3783783783783784,0.6191780821917808,0.22972972972972971,0.22972972972972971,0.3153153153153153,0.8355855855855856,0.8085585585585585,0.5653153153153153,0.25675675675675674,0.41891891891891886,0.6237929893186617
ABNB,0.7432432432432432,0.8198198198198198,0.6497747747747749,,0.6126126126126126,0.6126126126126126,0.9617117117117117,0.18468468468468469,0.704954954954955,0.8198198198198198,0.7747747747747747,0.56981981981982,0.16666666666666666
AKAM,0.08783783783783784,0.33783783783783783,0.32207207207207206,,0.02027027027027027,0.02027027027027027,0.38063063063063063,0.5157657657657657,0.509009009009009,0.33783783783783783,0.26801801801801806,0.33783783783783783,0.6329564740214195
ARE,0.11261261261261261,0.013513513513513514,0.7725225225225225,0.991201075369412,0.4572072072072072,0.4572072072072072,0.42792792792792794,0.9234234234234232,0.963963963963964,0.013513513513513514,0.015765765765765764,0.06531531531531531,0.3761841818803845
