,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
HAS,8620735488,7.3685474,0.537,4.56,0.29598552976274606,0.8224719101123595,0.32951277953881525,8.349,20.30363,7.3685474,0.39041,0.08332,280.61
HCA,85091024896,-24.42005,1.468,0.8,0.33402230866518356,0.8741573033707866,0.32543378760280595,-14.484,15.699068,-24.42005,16.05769,0.11607,
DOC,12204750848,1.4906143,1.024,7.07,0.17978080267036173,0.6539325842696629,0.2857583434873715,11.72,42.609756,1.4906143,0.0332,0.017439999,103.846
HSIC,8354860544,2.5349927,0.874,,0.044207954440866476,0.3056179775280899,0.2718067212271063,27.077,21.383177,2.5349927,0.084680006,0.04612,68.32
HSY,34625024000,7.390589,0.305,3.25,0.059789468644267964,0.35280898876404493,0.189191882065732,23.124,21.020908,7.390589,0.37483,0.109639995,134.279
HES,40943366144,3.5456564,0.623,1.55,0.06826109055714955,0.3775280898876405,0.4313009675130604,37.333,18.333796,3.5456564,0.22753,0.096829996,76.69
HPE,22186364928,0.8794584,1.31,3.14,0.07767704934317539,0.4134831460674157,0.3340507686922925,19.205,8.120193,0.8794584,0.12060001,0.02473,70.88
HOLX,12646453248,2.7381067,0.546,,0.04530148091570707,0.3101123595505618,0.26272221898546577,20.726,23.844536,2.7381067,0.11766,0.069180004,54.799
HD,360507604992,54.297905,1.056,2.54,0.059892512919004506,0.3550561797752809,0.2399029847326046,6.68,24.326626,54.297905,3.8537202,0.15585,950.075
HON,137033039872,7.8400555,1.058,2.11,0.04456242568637242,0.30786516853932583,0.22859903716479585,27.172,24.514385,7.8400555,0.32676998,0.07409,188.514
HRL,16062958592,2.000274,0.339,3.98,0.02786579048509168,0.2606741573033708,0.22493461512368254,14.603,21.166666,2.000274,0.09523,0.04913,35.547
HST,10384964608,1.5407887,1.315,5.48,0.07322088945860981,0.39101123595505616,0.395738285413148,9.586,15.385418,1.5407887,0.09996,0.03911,83.171
HWM,63542325248,13.425159,1.372,0.25,0.6112872673530167,0.9797752808988764,0.3752423545274702,11.725,51.441177,13.425159,0.28295,0.10203,72.684
