,PE,PB,ROE,ROA,DebtToEquity,Beta,MarketCap,DividendYield,52WeekChange,Momentum_6m,Volatility,Return_6m
NSC,15.318555,3.488954,0.24542,0.067379996,122.314,1.301,50627960832,2.43,-0.058501363,-0.10649366886641509,0.28799123338670024,-0.10649366886641509
NOC,19.56388,4.770394,0.25412,0.06404,120.969,0.193,71408443392,1.69,0.037476778,-0.012427868958085342,0.25307089693398616,-0.012427868958085342
NRG,22.975954,12.45654,0.4179,0.05698,443.664,1.096,23350423552,1.54,0.4891063,0.3269898499060482,0.4952796934541563,0.3269898499060482
NUE,21.407406,1.4074022,0.074039996,0.0387,37.319,1.68,27982944256,1.84,-0.31163752,-0.16737805748873458,0.39072084952093955,-0.16737805748873458
NVDA,39.105408,35.47359,1.1917701,0.57417,12.946,1.958,2805265596416,0.04,0.25702512,-0.18875446749279423,0.5970202370112516,-0.18875446749279423
NXPI,20.286491,5.057299,0.25441998,0.087629996,121.164,1.409,47047094272,2.23,-0.29478377,-0.26815619730743223,0.4678270011649899,-0.26815619730743223
OXY,18.09292,1.4831876,0.08934,0.04123,78.608,1.034,40140443648,2.37,-0.37195218,-0.17178387686363272,0.3249571494263063,-0.17178387686363272
ODFL,29.037525,7.7617855,0.26593,0.16778,1.416,1.256,32833992704,0.74,-0.18642604,-0.23344510509243688,0.37106485178631016,-0.23344510509243688
OMC,10.519125,3.435353,0.31022,0.051999997,129.051,0.893,15079218176,3.7,-0.1832884,-0.23119281905626599,0.2797331034204369,-0.23119281905626599
OKE,16.047852,2.4022748,0.16409001,0.06048,144.846,1.166,51322888192,5.09,0.047908902,-0.12350094426589009,0.30716470586205,-0.12350094426589009
ORCL,35.036385,25.005028,1.03741,0.073460005,632.501,1.221,418545336320,1.37,0.25639033,-0.13699242227697794,0.4232318767032639,-0.13699242227697794
PCAR,13.930198,2.674202,0.19899,0.06702,96.349,0.962,48189034496,1.47,-0.14323884,-0.11527386883080604,0.30108406569998203,-0.11527386883080604
