Ticker,Score
MRK,0.7176391293499648
PGR,0.7169663562099848
UNH,0.7146912898694799
NOC,0.7097368541438609
JNJ,0.7052935539315283
LMT,0.6895663711202705
GD,0.6835595109807003
ALL,0.6656338614279284
BMY,0.6596410024683885
HSY,0.6593561971306829
ELV,0.6566304925481117
BRK-B,0.6557684271214973
TMUS,0.6548815573314694
XOM,0.6536652717580982
PEP,0.6491838598990245
COP,0.646252393119175
PG,0.6444235226049482
VZ,0.6425336019352214
GIS,0.6418954215528297
NEM,0.6415892608197244
LDOS,0.6412847375712538
EOG,0.6408139999335136
REGN,0.6406288866714744
CI,0.6401578525241071
TRV,0.6371962318032338
AMGN,0.636418813531846
CVX,0.6322510595611202
GILD,0.6315564579579466
KO,0.6287002871429986
CMI,0.6249978191183
CB,0.6247996328711758
SO,0.6221305761145738
CAT,0.6220979137334763
PCAR,0.6184181442143959
PKG,0.617233836212927
K,0.6165854166895945
HES,0.6153447558570376
AEP,0.6151549748349903
DUK,0.6148323038425165
ABT,0.6136227139381254
SNA,0.612724941759095
ACGL,0.6124229934209267
GWW,0.6117534301386264
DTE,0.6110529623305143
