Ticker,Score
GOOGL,0.40765824433446307
HSY,0.4073977598332906
GOOG,0.40661630632977425
BRK-B,0.3998437092992973
UNH,0.3550403750976824
LLY,0.3414951810367295
GWW,0.34149518103672893
KMB,0.3399322740296961
LMT,0.32013545194061005
V,0.3157072154206836
ACGL,0.31284188590778894
CL,0.310758009898412
GIS,0.3081531648866899
SNA,0.2992966918468357
VZ,0.2956499088304253
ABT,0.29200312581401455
CMCSA,0.29122167231049806
MMC,0.2883563427976043
JNJ,0.286272466788227
LIN,0.28262568377181607
GRMN,0.2792393852565777
ZTS,0.2701224277155517
CBOE,0.2696014587132072
HUBB,0.2612659546756975
ACN,0.2607449856733535
DHI,0.25866110966397626
VRSK,0.25814014066163227
KO,0.25527481114873757
SYK,0.2539723886428761
AAPL,0.25371190414170497
SO,0.24980463662412133
AON,0.24928366762177717
ADBE,0.24824172961708868
ETN,0.2430320395936445
GILD,0.23938525657723408
