,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
MMM,76744613888,17.19108,1.076,2.11,-0.23110779841926207,0.06,0.24551581143977994,8.295,17.758408,17.19108,0.93824,0.05448,312.492
AOS,9704623104,5.2313466,1.278,2.03,0.0777371759173706,0.7457142857142857,0.3104384971834333,13.054,19.07542,5.2313466,0.27969998,0.13352999,15.945
ABT,231816298496,4.749243,0.743,1.76,-0.011412320135852484,0.5514285714285714,0.24368461962453922,28.055,17.303898,4.749243,0.30649,0.063769996,27.087
ACN,192753401856,6.5951247,1.344,1.93,0.06830967568152363,0.7228571428571429,0.27278914820850697,46.686,25.40429,6.5951247,0.26965,0.11576,26.706
ADBE,163353935872,12.7322855,1.551,,0.3059244800604263,0.9342857142857143,0.37130159853178957,30.103,25.33245,12.7322855,0.47284,0.17194,50.118
AMD,166744768512,2.878334,1.968,,0.6278784877269561,0.9942857142857143,0.5268087211045768,35.729,75.06569,2.878334,0.03904,0.0256,8.174
AES,7916583936,2.282899,0.938,6.77,-0.28706820728586646,0.03142857142857143,0.3374221265560361,4.871,6.043478,2.282899,0.05583,0.02399,361.561
AFL,57487982592,2.1826982,0.829,2.17,-0.07602855887407613,0.32571428571428573,0.2582147674222574,48.55,16.48056,2.1826982,0.14408,0.02343,42.513
A,30486065152,5.0605774,1.269,0.92,-0.22735471360510798,0.06571428571428571,0.27603972485220607,21.13,24.469109,5.0605774,0.20614,0.08392999,58.736
APD,60338356224,4.103678,0.89,2.71,-0.08555386061325763,0.30857142857142855,0.2577499718464356,66.07,39.1241,4.103678,0.095790006,0.047020003,98.527
ABNB,78410735616,9.907971,1.146,,0.17592793973466056,0.8657142857142858,0.5643869181042647,12.822,32.243656,9.907971,0.3206,0.06276,28.726
AKAM,11141269504,2.3449273,0.821,,0.004613843508485617,0.6171428571428571,0.2843778757061839,32.517,23.318043,2.3449273,0.09821,0.03916,100.746
ARE,12813294592,0.721543,1.289,7.34,-0.24959656565360502,0.05142857142857143,0.2598747644465947,102.655,97.460526,0.721543,0.01476,0.013040001,61.193
