,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
LH,20567601152,2.478766,0.805,1.17,0.3187000436874252,0.7113636363636363,0.2660629638042662,99.134,28.309906,2.478766,0.08981,0.0418,79.126
LRCX,96394485760,10.165925,1.653,1.23,0.42875265522653,0.8477272727272728,0.46448151188389936,7.413,20.991644,10.165925,0.53138,0.17291,47.148
LW,7172926464,4.390981,0.455,2.91,0.15404298811167647,0.39545454545454545,0.4025465333764316,11.576,19.933334,4.390981,0.2164,0.07366,261.312
LVS,28116727808,10.421687,0.982,2.53,0.04612128844303756,0.18409090909090908,0.421208702906105,3.818,22.229052,10.421687,0.44687,0.06875,456.677
LDOS,20041547776,4.7077675,0.661,1.03,0.015909903127731776,0.14545454545454545,0.28194436599758865,33.073,15.695564,4.7077675,0.30945998,0.09274,133.333
LEN,28507897856,1.2609392,1.434,1.86,0.2743339587123516,0.6386363636363637,0.46522834593141454,86.158,7.929927,1.2609392,0.15213999,0.08224,16.9
LII,20357629952,23.88526,1.188,0.81,0.2102366456865678,0.5136363636363637,0.2817566708914619,24.019,25.577353,23.88526,1.3148301,0.19844,174.757
LLY,659449970688,44.1581,0.472,0.77,0.3573599978920269,0.7636363636363637,0.35125970654140015,16.635,59.867153,44.1581,0.77278,0.16447,243.609
LIN,213077934080,5.6093783,1.007,1.33,0.183596233782946,0.45454545454545453,0.254263585219205,80.697,32.8968,5.6093783,0.17013,0.06963,60.555
LYV,31641513984,293.5914,1.473,,0.3679904302907942,0.7840909090909091,0.48535161716275693,0.465,46.277966,293.5914,0.68505996,0.04185,393.218
LKQ,10351734784,1.6776838,0.977,3.05,0.42162282416243185,0.8386363636363636,0.3790349760093132,23.902,14.907063,1.6776838,0.113900006,0.053600002,94.458
LMT,110943838208,16.50931,0.289,2.8,0.042257393246650884,0.18181818181818182,0.23290581307333286,28.682,20.419146,16.50931,0.82547,0.0832,303.816
L,18537213952,1.0816367,0.695,0.28,0.35078629384490206,0.759090909090909,0.35281100455629877,81.728,14.468085,1.0816367,0.07998,0.01654,49.606
