,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
MMM,0.7392550143266475,0.9054441260744985,0.5787965616045848,0.4670487106017192,0.05730659025787965,0.05730659025787966,0.16332378223495703,0.08882521489971347,0.3209169054441259,0.9054441260744985,0.9570200573065902,0.5100286532951289,0.9286611574382038
AOS,0.04871060171919771,0.6532951289398281,0.7679083094555874,0.4598683986998427,0.7449856733524355,0.7449856733524355,0.5186246418338109,0.19197707736389685,0.35243553008596046,0.6532951289398281,0.7220630372492848,0.9197707736389684,0.08557161522284526
ABT,0.9340974212034384,0.6275071633237822,0.27507163323782235,0.40257879656160456,0.5501432664756447,0.5501432664756447,0.15759312320916904,0.4469914040114613,0.2951289398280802,0.6275071633237822,0.7593123209169054,0.5931232091690545,0.15774327489002798
ACN,0.9140401146131805,0.7163323782234957,0.8252148997134671,0.4465048386224793,0.7220630372492839,0.7220630372492838,0.3037249283667622,0.6676217765042977,0.5587392550143266,0.7163323782234957,0.7077363896848138,0.8882521489971347,0.15481557119656691
ADBE,0.8882521489971347,0.8710601719197707,0.9340974212034384,,0.9340974212034386,0.9340974212034385,0.7421203438395415,0.48424068767908307,0.5530085959885387,0.8710601719197707,0.8825214899713467,0.9713467048710601,0.30415017388244237
AMD,0.8911174785100286,0.4297994269340974,0.994269340974212,,0.994269340974212,0.994269340974212,0.9512893982808023,0.5616045845272206,0.9312320916905444,0.4297994269340974,0.05444126074498567,0.15759312320916904,0.05172062539963342
AES,0.020057306590257878,0.332378223495702,0.43553008595988535,0.9789853040736917,0.028653295128939826,0.028653295128939833,0.6332378223495702,0.045845272206303724,0.0,0.332378223495702,0.09169054441260745,0.14040114613180515,0.9423873666418894
AFL,0.66189111747851,0.30945558739255014,0.335243553008596,0.48710601719197705,0.32378223495702013,0.3237822349570201,0.2320916905444126,0.6790830945558739,0.24641833810888272,0.30945558739255014,0.4584527220630373,0.1346704871060172,0.2643345490191158
A,0.4469914040114613,0.6389684813753582,0.7564469914040114,0.16475644699140402,0.06303724928366762,0.06303724928366762,0.335243553008596,0.34670487106017195,0.5386819484240688,0.6389684813753582,0.6246418338108882,0.7707736389684814,0.35839307271477316
APD,0.667621776504298,0.5673352435530086,0.39255014326647564,0.6205673758865248,0.30659025787965616,0.30659025787965616,0.21776504297994267,0.830945558739255,0.8022922636103157,0.5673352435530086,0.25501432664756446,0.42406876790830944,0.6108341959075972
