,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
MMM,76744613888,17.19108,1.076,2.11,-0.12179865433864366,0.3733031674208145,0.22758011634102596,8.295,17.758408,17.19108,0.93824,0.05448,312.492
AOS,9704623104,5.2313466,1.278,2.03,-0.22915579655174256,0.17873303167420815,0.30090607906070155,13.054,19.07542,5.2313466,0.27969998,0.13352999,15.945
ABT,231816298496,4.749243,0.743,1.76,-0.07810925052099446,0.47058823529411764,0.24417452540439488,28.055,17.303898,4.749243,0.30649,0.063769996,27.087
ACN,192753401856,6.5951247,1.344,1.93,-0.15972063743268333,0.3009049773755656,0.2595382754368684,46.686,25.40429,6.5951247,0.26965,0.11576,26.706
ADBE,163353935872,12.7322855,1.551,,-0.3757408092814626,0.04072398190045249,0.3489973800679002,30.103,25.33245,12.7322855,0.47284,0.17194,50.118
AMD,166744768512,2.878334,1.968,,-0.3608637725485541,0.05203619909502263,0.5142516200623686,35.729,75.06569,2.878334,0.03904,0.0256,8.174
AES,7916583936,2.282899,0.938,6.77,-0.05032259472416829,0.5090497737556561,0.33683424896077035,4.871,6.043478,2.282899,0.05583,0.02399,361.561
AFL,57487982592,2.1826982,0.829,2.17,0.11962276543676402,0.744343891402715,0.2702697162930954,48.55,16.48056,2.1826982,0.14408,0.02343,42.513
A,30486065152,5.0605774,1.269,0.92,-0.18193757913656805,0.248868778280543,0.25343203360337724,21.13,24.469109,5.0605774,0.20614,0.08392999,58.736
APD,60338356224,4.103678,0.89,2.71,-0.14314655332729512,0.32805429864253394,0.25180718395996193,66.07,39.1241,4.103678,0.095790006,0.047020003,98.527
ABNB,78410735616,9.907971,1.146,,-0.32351915055925756,0.083710407239819,0.5817163385551949,12.822,32.243656,9.907971,0.3206,0.06276,28.726
AKAM,11141269504,2.3449273,0.821,,-0.10266193441103443,0.4072398190045249,0.2775556751096564,32.517,23.318043,2.3449273,0.09821,0.03916,100.746
ARE,12813294592,0.721543,1.289,7.34,-0.1723061039930598,0.26244343891402716,0.22544511532541936,102.655,97.460526,0.721543,0.01476,0.013040001,61.193
ALGN,13315490816,3.5262415,1.683,,-0.5663826783246907,0.00904977375565611,0.5206282178328092,51.579,33.12933,3.5262415,0.108430006,0.06719,3.124
ALLE,12206093312,7.5969367,1.036,1.45,-0.0896234955421567,0.43891402714932126,0.28420576864464325,18.672,19.922754,7.5969367,0.42051998,0.11533,133.636
LNT,15864475648,2.2634318,0.577,3.28,0.16998640042392277,0.7941176470588235,0.20507844421338628,27.286,22.959106,2.2634318,0.10712,0.02735,149.852
ALL,53662720000,2.6777666,0.316,1.96,0.2477406431710066,0.8755656108597285,0.24078147081286344,75.675,13.850991,2.6777666,0.19723,0.03111,36.672
GOOGL,1861411536896,5.3775744,1.01,0.55,-0.19736439626512686,0.21945701357466063,0.284626206833197,28.405,17.04799,5.3775744,0.34789002,0.16896999,8.254
GOOG,1863783415808,5.4349585,1.01,0.55,-0.19876865692523799,0.2171945701357466,0.2820978491848964,28.405,17.249163,5.4349585,0.34789002,0.16896999,8.254
AMZN,2049602093056,6.69882,1.308,,-0.3060646188768206,0.09049773755656108,0.35054897148290864,28.82,31.49429,6.69882,0.2524,0.07632,51.641
AMCR,20897019904,3.4208553,0.78,5.6,0.18800829001197103,0.8167420814479638,0.2513108667971411,2.666,16.285713,3.4208553,0.20796,0.04917,241.41
AEE,26325176320,2.1546288,0.524,2.85,0.17180514134759964,0.7986425339366516,0.19390494961879062,45.205,21.59645,2.1546288,0.10159001,0.02686,158.916
AEP,55919534080,2.0460498,0.435,3.46,0.27997676986921455,0.8959276018099548,0.19292969224536577,51.162,20.208494,2.0460498,0.10421,0.028900001,171.503
AXP,199324581888,6.391903,1.239,1.19,0.09420708961285915,0.7194570135746606,0.36962896910325405,44.511,19.8819,6.391903,0.34273,0.03727,170.351
AIG,47495356416,1.154428,0.7,2.2,0.11217367315889994,0.7352941176470589,0.3820777909985156,71.386,20.100002,1.154428,0.057439998,0.0072600003,21.112
AMT,102976315392,29.13124,0.878,3.1,-0.027845631410164856,0.5520361990950227,0.24731557134313017,7.551,35.53635,29.13124,0.28421,0.04533,446.681
AWK,28655063040,2.720255,0.728,2.24,-0.09126909903616365,0.4298642533936652,0.21602694838015588,54.017,26.765028,2.720255,0.10428,0.03475,137.735
AMP,46866710528,8.665904,1.27,1.33,-0.05849467674234162,0.502262443438914,0.32386890327043816,56.795,16.729435,8.665904,0.58108,0.022219999,74.235
AME,39653470208,3.9772596,1.124,0.73,-0.11495534795105707,0.3891402714932127,0.22524854580653414,43.183,28.109655,3.9772596,0.14964,0.07521,21.761
AMGN,142954512384,23.030146,0.497,3.45,0.2954867296149749,0.9072398190045249,0.23067939810756696,11.544,24.213114,23.030146,1.0567299,0.07037,924.456
APH,98008760320,9.495187,1.103,0.82,-0.13589141986035394,0.35294117647058826,0.24953844177815088,8.518,39.262135,9.495187,0.27526,0.118219994,69.096
ADI,102919979008,2.9346626,0.985,1.98,-0.07360830629049667,0.4796380090497738,0.30924456697587616,70.71,66.08598,2.9346626,0.04429,0.02616,21.725
ANSS,29341116416,4.7480435,1.214,,-0.3488301036707388,0.06561085972850679,0.3435885109187933,70.29,49.442963,4.7480435,0.102299996,0.06059,13.932
AON,76511862784,10.932092,0.89,0.83,-0.08178641230365719,0.45475113122171945,0.25057513577327445,32.411,30.597584,10.932092,0.72012,0.06008,254.468
APA,6047022080,1.1570934,1.19,6.46,0.8602919447849826,0.9886877828054299,0.6737918715891686,14.45,7.3656387,1.1570934,0.26176,0.082320005,84.961
APO,75700101120,4.5578423,1.654,1.58,-0.17279293040021687,0.2579185520361991,0.3717001231508178,29.062,18.070942,4.5578423,0.18686001,0.01521,90.49
AAPL,2965204369408,44.403934,1.275,0.53,-0.09789326370364805,0.4117647058823529,0.3154863816144232,4.471,30.923676,44.403934,1.38015,0.23809999,146.994
AMAT,126423949312,6.7877865,1.705,1.18,-0.21905862058409062,0.18552036199095023,0.43817291708223766,22.925,20.341177,6.7877865,0.35186002,0.15558,35.372
APTV,13492728832,1.5475478,1.445,,-0.3294668378518443,0.07918552036199095,0.41456509285854,40.044,10.125817,1.5475478,0.15237,0.05728,91.193
ACGL,35509223424,1.707207,0.55,,0.15824661734629708,0.7850678733031674,0.30136418270034204,55.377,9.69641,1.707207,0.18415001,0.03801,12.662
ADM,23316236288,1.0531455,0.674,4.26,0.4070398131693305,0.9479638009049773,0.2515941989142488,46.081,17.088028,1.0531455,0.05888,0.01791,55.504
ANET,108662194176,10.743821,1.387,,-0.18047718708904215,0.251131221719457,0.3783569454243613,8.053,36.50633,10.743821,0.33681,0.15675001,
AJG,86591995904,3.8802578,0.781,0.77,-0.008564843985279574,0.5723981900452488,0.2182584586153727,87.154,52.10786,3.8802578,0.092980005,0.026770001,60.048
AIZ,9955356672,1.9174472,0.581,1.62,0.18114954859191512,0.8076923076923077,0.2629352669249077,102.068,15.254092,1.9174472,0.13204001,0.01705,39.809
